"rownames(plant_vir)","aa","ac","ag","at","ca","cc","cg","ct","ga","gc","gg","gt","ta","tc","tg","tt"
"00163.1",320,180,233,304,220,165,145,212,280,165,160,200,217,233,266,343
"09854.1",866,687,631,739,832,327,506,431,751,616,482,465,473,466,696,566
"89997.1",1126,602,797,767,872,208,309,350,818,474,500,568,476,455,754,783
"A417701.1",629,351,444,475,392,204,244,338,467,253,317,445,412,370,476,565
"C_014064.1",939,555,662,798,701,212,375,368,820,480,575,537,494,409,799,763
"C_008393.1",987,537,736,802,781,269,250,489,764,497,480,558,529,487,833,890
"028573.1",203,127,167,237,164,153,81,161,191,118,157,176,175,161,237,243
"794199.1",426,534,325,215,595,800,359,497,335,409,313,182,144,509,241,217
"02144.1",629,356,449,468,395,204,247,336,469,253,313,447,410,369,472,566
"206346.1",939,555,663,798,701,212,375,368,820,480,575,537,494,409,799,763
"A181350.1",987,537,736,802,781,269,250,489,764,497,480,558,529,487,833,890
"65102.2",698,411,702,578,554,371,241,531,644,514,594,523,493,402,737,743
"C_014127.1",490,462,259,377,629,714,216,640,278,314,188,208,192,709,324,516
"C_013415.1",251,113,106,278,130,98,118,148,140,108,110,164,226,175,188,303
"C_013414.1",225,140,123,248,169,141,123,155,165,124,111,168,176,183,211,270
"C_003820.1",606,469,294,400,547,456,146,471,341,254,167,194,275,441,349,434
"C_003397.1",1058,603,810,778,887,273,203,455,847,469,549,534,456,474,837,758
"C_002351.1",628,409,461,524,361,150,325,342,675,315,430,452,359,304,655,634
"C_002164.1",308,399,312,285,530,655,410,508,326,461,275,253,140,588,317,331
"C_001818.1",315,252,262,232,278,201,180,216,254,192,275,233,214,231,236,231
"C_001814.1",866,687,631,739,832,327,506,431,751,616,482,465,473,466,696,566
"886525.1",235,127,159,244,168,143,77,159,186,116,170,160,175,161,226,254
"611625.1",172,132,145,192,128,137,129,169,198,117,139,177,142,177,218,233
"611624.1",171,134,141,189,129,134,126,169,190,117,150,183,144,173,223,216
"611623.1",161,125,142,207,160,164,112,178,169,139,151,164,144,186,218,212
"611622.1",161,127,142,210,159,162,111,177,173,137,148,164,146,183,221,212
"543426.1",251,113,106,278,130,98,118,148,140,108,110,164,226,175,188,303
"543425.1",225,140,123,248,169,141,123,155,165,124,111,168,176,183,211,270
"A132577.1",276,197,252,255,179,92,160,213,282,176,218,290,243,179,336,334
"A132576.1",628,409,461,524,361,150,325,342,675,315,430,452,359,304,655,634
"G917911.1",186,179,162,192,156,181,157,199,213,120,127,226,164,214,239,322
"G917910.1",127,112,122,134,108,126,144,143,123,116,101,188,137,168,160,194
"G917909.1",247,210,182,220,184,155,156,250,244,154,164,223,184,227,282,306
"818417.1",554,362,483,464,428,224,253,314,526,272,318,420,356,361,481,578
"818416.1",558,351,475,476,431,228,253,299,512,277,327,427,360,355,487,578
"863667.2",231,139,137,242,164,149,109,166,192,118,150,160,161,182,224,235
"818460.1",554,349,475,473,423,232,264,308,517,280,326,424,358,366,481,563
"818459.1",565,352,470,480,431,227,253,306,509,281,327,421,363,357,487,565
"818458.1",563,348,473,477,427,223,252,312,512,283,323,422,360,360,491,569
"818457.1",559,348,474,477,427,223,252,312,512,283,322,423,361,360,491,569
"818456.1",560,355,472,476,432,228,261,300,516,278,321,424,356,360,484,572
"818455.1",560,355,471,476,433,229,260,300,514,278,323,424,356,360,484,572
"818454.1",558,352,476,472,434,225,252,303,511,279,331,427,356,358,488,573
"818453.1",557,357,472,473,434,224,259,302,513,274,324,429,356,364,484,572
"818452.1",557,351,476,476,430,229,260,300,519,279,326,423,355,360,484,569
"818451.1",557,349,477,477,434,223,249,301,511,278,328,427,359,357,489,578
"818450.1",561,348,474,478,427,223,251,312,514,283,324,419,360,359,490,571
"818449.1",561,349,475,477,427,224,252,310,514,282,324,421,361,358,489,569
"818448.1",554,352,476,478,433,226,259,298,520,276,329,424,354,362,484,569
"818447.1",559,350,474,471,431,227,267,296,511,284,334,425,354,360,478,573
"818446.1",557,349,477,477,434,225,248,301,511,277,328,427,359,357,489,578
"818445.1",567,350,475,471,430,227,257,302,510,279,328,425,357,360,481,575
"818444.1",554,346,477,478,426,225,251,302,513,275,329,432,363,358,491,574
"818443.1",560,351,472,473,424,229,262,306,519,286,330,416,354,355,486,570
"818442.1",555,349,477,476,429,230,257,299,512,280,328,427,362,356,484,573
"818441.1",564,347,472,481,430,228,253,306,511,277,322,423,360,365,485,571
"818440.1",559,350,479,477,434,227,247,299,518,274,324,425,355,356,490,580
"818439.1",562,351,474,477,427,230,252,306,509,279,326,424,367,355,485,570
"818438.1",562,351,474,477,427,230,252,306,509,279,326,424,367,355,485,570
"818437.1",557,348,476,479,431,229,259,296,516,280,324,425,357,358,485,574
"818436.1",557,348,475,479,430,227,262,294,516,280,324,427,357,358,485,576
"818435.1",557,348,478,476,432,226,247,300,514,273,326,431,357,358,492,579
"818434.1",549,350,481,476,435,224,252,299,515,277,325,430,358,359,488,576
"818433.1",549,350,481,476,436,224,252,299,514,277,326,430,358,360,487,575
"818432.1",561,354,471,477,427,224,262,297,514,277,331,425,362,355,482,576
"818431.1",558,356,472,474,428,225,262,297,513,276,333,428,362,355,482,574
"818430.1",554,347,482,477,428,225,251,310,515,277,324,426,364,365,484,564
"818429.1",556,354,478,476,432,223,250,305,518,275,323,425,359,358,489,573
